data,SC,MS,RJ,RS,AC,AP,GO,MG,PR,RO,RR,TO
2020-07-19,1.0,5.0,,2.0,,,,,3.0,,,4.0
2020-07-20,1.0,5.0,,2.0,,,,4.0,,,,3.0
2020-07-21,1.0,4.0,,2.0,,,,,5.0,,,3.0
2020-07-22,1.0,4.0,,2.0,,,,,,5.0,,3.0
2020-07-23,1.0,3.0,,5.0,,,,,,2.0,,4.0
2020-07-24,1.0,2.0,,,,3.0,,,,4.0,,5.0
2020-07-25,1.0,2.0,,,,4.0,,,,3.0,,5.0
2020-07-26,1.0,2.0,,,,,,,,3.0,4.0,5.0
2020-07-27,1.0,2.0,,,,,4.0,,,,3.0,5.0
2020-07-28,2.0,4.0,,,,,3.0,,,5.0,1.0,
2020-07-29,4.0,3.0,,,,,2.0,,,,1.0,5.0
2020-07-30,3.0,2.0,,5.0,,,4.0,,,,1.0,
2020-07-31,5.0,1.0,,2.0,4.0,,3.0,,,,,
2020-08-01,1.0,2.0,3.0,4.0,5.0,,,,,,,
