data,SC,PA,BA,RS,RN,AC,CE,MA,RO,RR
2021-02-16,,2.0,,,,3.0,5.0,4.0,,1.0
2021-02-17,,3.0,4.0,,,2.0,,5.0,,1.0
2021-02-18,,3.0,4.0,,,2.0,,5.0,,1.0
2021-02-19,,2.0,4.0,,,3.0,,,5.0,1.0
2021-02-20,,3.0,4.0,,5.0,2.0,,,,1.0
2021-02-21,,5.0,3.0,,4.0,1.0,,,,2.0
2021-02-22,,3.0,4.0,,5.0,1.0,,,,2.0
2021-02-23,,4.0,3.0,,,2.0,,,5.0,1.0
2021-02-24,,3.0,5.0,,,4.0,1.0,,,2.0
2021-02-25,,1.0,2.0,,,4.0,3.0,,,5.0
2021-02-26,,2.0,1.0,,5.0,3.0,4.0,,,
2021-02-27,5.0,4.0,2.0,,3.0,,1.0,,,
2021-02-28,3.0,2.0,1.0,5.0,4.0,,,,,
2021-03-01,1.0,2.0,3.0,4.0,5.0,,,,,
