data,RR,AM,CE,PA,ES,AP,BA,GO,MA,MG,PE,RJ,RN,RO,SP
2020-09-19,,,,3.0,,4.0,,,,5.0,2.0,1.0,,,
2020-09-20,,,,,,3.0,,,4.0,,2.0,1.0,,,5.0
2020-09-21,,,,,,3.0,4.0,,5.0,,,1.0,,2.0,
2020-09-22,,,,,,,5.0,2.0,,,,1.0,,4.0,3.0
2020-09-23,,,,,,1.0,,5.0,,,2.0,3.0,4.0,,
2020-09-24,1.0,4.0,,,,2.0,,5.0,,,,,3.0,,
2020-09-25,1.0,,,,,3.0,5.0,,,4.0,,2.0,,,
2020-09-26,1.0,3.0,,5.0,,2.0,,,,,,4.0,,,
2020-09-27,1.0,3.0,,,,2.0,,,,5.0,,4.0,,,
2020-09-28,1.0,4.0,,,,2.0,,,,5.0,,3.0,,,
2020-09-29,1.0,3.0,,,5.0,2.0,,,,,,4.0,,,
2020-09-30,1.0,2.0,,,,3.0,5.0,,,,,,4.0,,
2020-10-01,1.0,2.0,,,4.0,3.0,5.0,,,,,,,,
2020-10-02,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
