data,GO,AM,RR,MT,PA,CE,MG,PE,RJ,RO,SP,TO
2021-01-20,,1.0,,,,5.0,3.0,,4.0,,,2.0
2021-01-21,4.0,1.0,,,,,3.0,,,,5.0,2.0
2021-01-22,,1.0,,,,,3.0,4.0,,,5.0,2.0
2021-01-23,4.0,1.0,,5.0,,,3.0,,,,,2.0
2021-01-24,4.0,1.0,,3.0,,,5.0,,,,,2.0
2021-01-25,2.0,1.0,5.0,4.0,,,,,,,,3.0
2021-01-26,3.0,1.0,2.0,5.0,,,,,,,,4.0
2021-01-27,4.0,1.0,5.0,2.0,,,3.0,,,,,
2021-01-28,3.0,1.0,2.0,5.0,,,4.0,,,,,
2021-01-29,4.0,2.0,1.0,3.0,,,5.0,,,,,
2021-01-30,3.0,1.0,2.0,4.0,,,,,,5.0,,
2021-01-31,,1.0,2.0,3.0,5.0,,,,,4.0,,
2021-02-01,3.0,1.0,2.0,4.0,5.0,,,,,,,
2021-02-02,1.0,2.0,3.0,4.0,5.0,,,,,,,
