data,AM,AL,MT,PA,MS,AC,MG,PB,PR,RN,SE
2020-12-21,,3.0,2.0,,1.0,,5.0,3.0,,,
2020-12-22,,2.0,3.0,,1.0,,4.0,5.0,,,
2020-12-23,,2.0,3.0,,1.0,,5.0,,,4.0,
2020-12-24,,1.0,4.0,,2.0,5.0,3.0,,,,
2020-12-25,,1.0,4.0,,2.0,,3.0,,5.0,,
2020-12-26,,1.0,3.0,4.0,2.0,,5.0,,,,
2020-12-27,3.0,1.0,4.0,,2.0,,,,,,5.0
2020-12-28,2.0,1.0,5.0,4.0,3.0,,,,,,
2020-12-29,3.0,1.0,4.0,,2.0,,,,,,5.0
2020-12-30,2.0,1.0,5.0,4.0,3.0,,,,,,
2020-12-31,1.0,2.0,4.0,5.0,3.0,,,,,,
2021-01-01,2.0,1.0,4.0,5.0,3.0,,,,,,
2021-01-02,1.0,2.0,3.0,,4.0,5.0,,,,,
2021-01-03,1.0,2.0,3.0,4.0,5.0,,,,,,
