data,SC,PA,PI,MA,SE,AC,AM,AP,CE,ES,PB,PE,RN,RR,RS
2020-10-22,,,5.0,,4.0,5.0,2.0,,,,5.0,,1.0,3.0,
2020-10-23,,,,,2.0,,1.0,,,,4.0,,,3.0,5.0
2020-10-24,,,5.0,,3.0,5.0,1.0,5.0,,,,,,2.0,4.0
2020-10-25,,,,,,2.0,1.0,3.0,,5.0,,,,3.0,
2020-10-26,,,,,,2.0,1.0,,,5.0,,,,4.0,3.0
2020-10-27,4.0,,,,,,1.0,3.0,2.0,,,,,,5.0
2020-10-28,3.0,,,,,,1.0,2.0,4.0,,,5.0,,,
2020-10-29,4.0,,,,,,1.0,2.0,,3.0,,5.0,,,
2020-10-30,,,,,,1.0,4.0,1.0,3.0,5.0,,,,,
2020-10-31,1.0,,,,,2.0,4.0,,3.0,5.0,,,,,
2020-11-01,1.0,3.0,,,,5.0,,,2.0,4.0,,,,,
2020-11-02,1.0,2.0,,4.0,5.0,,,,3.0,,,,,,
2020-11-03,1.0,3.0,5.0,4.0,,,,2.0,,,,,,,
2020-11-04,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
