data,CE,SC,RO,ES,AC,AP,GO,MG,PR,RJ,RN,RR,RS,SP
2020-11-21,,,,,,2.0,,,3.0,,4.0,1.0,,5.0
2020-11-22,,,,,,2.0,,,5.0,,3.0,1.0,,4.0
2020-11-23,,,,5.0,,,,,,2.0,4.0,1.0,,3.0
2020-11-24,,,,,,,4.0,,,3.0,,1.0,5.0,2.0
2020-11-25,,,,,,,,3.0,,2.0,,1.0,5.0,4.0
2020-11-26,,4.0,,3.0,,,5.0,2.0,,1.0,,,,
2020-11-27,,2.0,,5.0,,,2.0,,,1.0,,,,4.0
2020-11-28,2.0,1.0,,4.0,,,,,,3.0,,5.0,,
2020-11-29,1.0,2.0,,4.0,,,,,,3.0,,5.0,,
2020-11-30,1.0,2.0,,4.0,,,,,,3.0,,5.0,,
2020-12-01,1.0,2.0,,3.0,,,,,,4.0,,,5.0,
2020-12-02,2.0,1.0,5.0,4.0,,,,,,,,3.0,,
2020-12-03,1.0,2.0,4.0,,5.0,,,,,,,3.0,,
2020-12-04,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
