data,AM,CE,PA,TO,RO,AP,BA,DF,GO,MS,RJ,RN,RS
2020-08-24,,,,4.0,,,3.0,5.0,2.0,,1.0,,
2020-08-25,,,,4.0,,,3.0,,2.0,,1.0,5.0,
2020-08-26,,,,4.0,,2.0,5.0,,3.0,,1.0,,
2020-08-27,,,,3.0,,1.0,5.0,,4.0,,2.0,,
2020-08-28,,,,2.0,,1.0,5.0,,,4.0,3.0,,
2020-08-29,,,,3.0,,1.0,,,4.0,,2.0,,5.0
2020-08-30,,,5.0,3.0,,1.0,,,4.0,,2.0,,
2020-08-31,,,2.0,4.0,,1.0,,,5.0,,3.0,,
2020-09-01,,,3.0,2.0,,1.0,,,5.0,,4.0,,
2020-09-02,1.0,,,2.0,,3.0,,,4.0,5.0,,,
2020-09-03,1.0,,5.0,2.0,4.0,,,,3.0,,,,
2020-09-04,1.0,3.0,,2.0,4.0,,,,,5.0,,,
2020-09-05,1.0,3.0,4.0,2.0,5.0,,,,,,,,
2020-09-06,1.0,2.0,3.0,4.0,5.0,,,,,,,,
