data,AM,RO,TO,PA,SE,AC,AL,MG,MS,MT
2020-12-26,,,,4.0,,,1.0,5.0,2.0,3.0
2020-12-27,3.0,,,,5.0,,1.0,,2.0,4.0
2020-12-28,2.0,,,4.0,,,1.0,,3.0,5.0
2020-12-29,3.0,,,,5.0,,1.0,,2.0,4.0
2020-12-30,2.0,,,4.0,,,1.0,,3.0,5.0
2020-12-31,1.0,,,5.0,,,2.0,,3.0,4.0
2021-01-01,2.0,,,5.0,,,1.0,,3.0,4.0
2021-01-02,1.0,,,,,5.0,2.0,,4.0,3.0
2021-01-03,1.0,,,4.0,,,2.0,,5.0,3.0
2021-01-04,1.0,,,3.0,5.0,,2.0,,4.0,
2021-01-05,1.0,,,2.0,4.0,,3.0,,5.0,
2021-01-06,1.0,4.0,,2.0,5.0,,3.0,,,
2021-01-07,1.0,2.0,,3.0,4.0,,5.0,,,
2021-01-08,1.0,2.0,3.0,4.0,5.0,,,,,
