data,MG,MS,SC,RS,AM,AC,DF,GO,PR,RJ,RN,RO,RR,TO
2020-07-27,,2.0,1.0,,,,,4.0,,,,,3.0,5.0
2020-07-28,,4.0,2.0,,,,,3.0,,,,5.0,1.0,
2020-07-29,,3.0,4.0,,,,,2.0,,,,,1.0,5.0
2020-07-30,,2.0,3.0,5.0,,,,4.0,,,,,1.0,
2020-07-31,,1.0,5.0,2.0,,4.0,,3.0,,,,,,
2020-08-01,,2.0,1.0,4.0,,5.0,,,,3.0,,,,
2020-08-02,,1.0,3.0,4.0,,2.0,,,,,,,,5.0
2020-08-03,,1.0,2.0,3.0,,4.0,,,,,,,,5.0
2020-08-04,,1.0,5.0,2.0,,4.0,,,3.0,,,,,
2020-08-05,3.0,5.0,1.0,4.0,,2.0,,,,,,,,
2020-08-06,1.0,4.0,2.0,5.0,,,,,,,3.0,,,
2020-08-07,2.0,3.0,1.0,5.0,,,,,,,4.0,,,
2020-08-08,2.0,1.0,4.0,3.0,,,5.0,,,,,,,
2020-08-09,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
