data,SC,RS,MA,CE,PR,AC,BA,PA,PI,RN,RR
2021-02-24,,,,1.0,,4.0,5.0,3.0,,,2.0
2021-02-25,,,,3.0,,4.0,2.0,1.0,,,5.0
2021-02-26,,,,4.0,,3.0,1.0,2.0,,5.0,
2021-02-27,5.0,,,1.0,,,2.0,4.0,,3.0,
2021-02-28,3.0,5.0,,,,,1.0,2.0,,4.0,
2021-03-01,1.0,4.0,,,,,3.0,2.0,,5.0,
2021-03-02,1.0,2.0,,,,5.0,4.0,,,3.0,
2021-03-03,1.0,2.0,,4.0,,,5.0,,,3.0,
2021-03-04,1.0,4.0,5.0,2.0,,,,,,3.0,
2021-03-05,1.0,3.0,5.0,2.0,,,,,,4.0,
2021-03-06,1.0,3.0,4.0,2.0,,,,,5.0,,
2021-03-07,1.0,3.0,4.0,2.0,5.0,,,,,,
2021-03-08,1.0,3.0,2.0,4.0,5.0,,,,,,
2021-03-09,1.0,2.0,3.0,4.0,5.0,,,,,,
