data,PI,AL,SE,MA,RS,AC,AM,AP,BA,CE,ES,MG,MS,PA,PE,RJ,RN,RR
2020-09-28,,,,,,,4.0,2.0,,,,5.0,,,,3.0,,1.0
2020-09-29,,,,,,,3.0,2.0,,,5.0,,,,,4.0,,1.0
2020-09-30,,,,,,,2.0,3.0,5.0,,,,,,,,4.0,1.0
2020-10-01,,,,,,,2.0,3.0,5.0,,4.0,,,,,,,1.0
2020-10-02,,,,,,,2.0,,,3.0,5.0,,,4.0,,,,1.0
2020-10-03,,,5.0,,,,2.0,,,3.0,4.0,,,,,,,1.0
2020-10-04,,,3.0,,,5.0,2.0,,,,,,,,4.0,,,1.0
2020-10-05,,,4.0,,,5.0,2.0,,,,,,,,3.0,,,1.0
2020-10-06,,,,,,4.0,2.0,3.0,,5.0,,,,,,,,1.0
2020-10-07,,2.0,5.0,,,,,4.0,,,3.0,,,,,,,1.0
2020-10-08,,4.0,5.0,,,3.0,,2.0,,,1.0,,,,,,,
2020-10-09,,4.0,,5.0,,1.0,3.0,2.0,,,,,,,,,,
2020-10-10,,1.0,5.0,3.0,,,4.0,,,,,,2.0,,,,,
2020-10-11,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,
