data,AM,MG,SC,TO,PR,AC,BA,DF,MS,RN,RS
2020-08-02,,,3.0,5.0,,2.0,,,1.0,,4.0
2020-08-03,,,2.0,5.0,,4.0,,,1.0,,3.0
2020-08-04,,,5.0,,3.0,4.0,,,1.0,,2.0
2020-08-05,,3.0,1.0,,,2.0,,,5.0,,4.0
2020-08-06,,1.0,2.0,,,,,,4.0,3.0,5.0
2020-08-07,,2.0,1.0,,,,,,3.0,4.0,5.0
2020-08-08,,2.0,4.0,,,,,5.0,1.0,,3.0
2020-08-09,5.0,1.0,3.0,,,,,,2.0,,4.0
2020-08-10,3.0,1.0,2.0,5.0,,,,,,,4.0
2020-08-11,2.0,3.0,1.0,5.0,,,,,4.0,,
2020-08-12,1.0,5.0,2.0,3.0,,,,,4.0,,
2020-08-13,1.0,5.0,3.0,2.0,,,,,4.0,,
2020-08-14,1.0,4.0,3.0,2.0,,,5.0,,,,
2020-08-15,1.0,2.0,3.0,4.0,5.0,,,,,,
