municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
Ponta de Pedras,2020-03-27,0,0,0,0,,,,0.0
Ponta de Pedras,2020-03-28,0,0,0,0,,,,0.0
Ponta de Pedras,2020-03-29,0,0,0,0,,,,0.0
Ponta de Pedras,2020-03-30,0,0,0,0,,,,0.0
Ponta de Pedras,2020-03-31,0,0,0,0,,,,0.0
Ponta de Pedras,2020-04-01,0,0,0,0,,,,0.0
Ponta de Pedras,2020-04-02,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-03,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-04,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-05,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-06,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-07,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-08,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-09,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-10,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-11,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-12,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-13,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-14,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-15,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-16,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-17,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-18,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-19,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-20,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-21,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-22,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-23,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-24,0,0,0,0,0.0,0.0,,0.0
Ponta de Pedras,2020-04-25,3,3,1,1,0.42857142857142855,0.14285714285714285,inf,0.47712125471966244
Ponta de Pedras,2020-04-26,4,1,1,0,0.5714285714285714,0.14285714285714285,inf,0.6020599913279624
Ponta de Pedras,2020-04-27,6,2,1,0,0.8571428571428571,0.14285714285714285,inf,0.7781512503836436
Ponta de Pedras,2020-04-28,6,0,2,1,0.8571428571428571,0.2857142857142857,inf,0.7781512503836436
Ponta de Pedras,2020-04-29,6,0,2,0,0.8571428571428571,0.2857142857142857,inf,0.7781512503836436
Ponta de Pedras,2020-04-30,8,2,2,0,1.1428571428571428,0.2857142857142857,inf,0.9030899869919435
Ponta de Pedras,2020-05-01,10,2,3,1,1.4285714285714286,0.42857142857142855,inf,1.0
Ponta de Pedras,2020-05-02,16,6,3,0,1.8571428571428572,0.2857142857142857,inf,1.2041199826559248
Ponta de Pedras,2020-05-03,17,1,3,0,1.8571428571428572,0.2857142857142857,inf,1.2304489213782739
Ponta de Pedras,2020-05-04,23,6,3,0,2.4285714285714284,0.2857142857142857,inf,1.3617278360175928
Ponta de Pedras,2020-05-05,23,0,3,0,2.4285714285714284,0.14285714285714285,inf,1.3617278360175928
Ponta de Pedras,2020-05-06,23,0,3,0,2.4285714285714284,0.14285714285714285,inf,1.3617278360175928
Ponta de Pedras,2020-05-07,27,4,3,0,2.7142857142857144,0.14285714285714285,inf,1.4313637641589874
Ponta de Pedras,2020-05-08,33,6,3,0,3.2857142857142856,0.0,,1.5185139398778875
Ponta de Pedras,2020-05-09,37,4,3,0,3.0,0.0,-1.0,1.568201724066995
Ponta de Pedras,2020-05-10,37,0,3,0,2.857142857142857,0.0,-1.0,1.568201724066995
