data,AC,RR,PA,CE,DF,AM,AP,GO,MG,MS,PE,PR,RJ,RO,RS,TO
2020-09-01,,,3.0,,,,1.0,5.0,,,,,4.0,,,2.0
2020-09-02,,,,,,1.0,3.0,4.0,,5.0,,,,,,2.0
2020-09-03,,,5.0,,,1.0,,3.0,,,,,,4.0,,2.0
2020-09-04,,,,3.0,,1.0,,,,5.0,,,,4.0,,2.0
2020-09-05,,,4.0,3.0,,1.0,,,,,,,,5.0,,2.0
2020-09-06,,,3.0,2.0,,1.0,,,,,,,,5.0,,4.0
2020-09-07,,5.0,,2.0,,1.0,,,,,,4.0,,,,3.0
2020-09-08,,,4.0,,,1.0,,,3.0,,,2.0,,,,5.0
2020-09-09,,1.0,4.0,2.0,,3.0,,,,,,,,,5.0,
2020-09-10,3.0,2.0,,1.0,,,,,,,,5.0,,,4.0,
2020-09-11,1.0,,4.0,5.0,,,,,,,,3.0,,,2.0,
2020-09-12,2.0,1.0,4.0,3.0,,,,,,,5.0,,,,,
2020-09-13,1.0,3.0,2.0,4.0,,,,5.0,,,,,,,,
2020-09-14,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
