data,AM,TO,CE,GO,RJ,AC,AL,MS,MT,PA,RO,RR,SE,SP
2021-01-02,1.0,,,,,5.0,2.0,4.0,3.0,,,,,
2021-01-03,1.0,,,,,,2.0,5.0,3.0,4.0,,,,
2021-01-04,1.0,,,,,,2.0,4.0,,3.0,,,5.0,
2021-01-05,1.0,,,,,,3.0,5.0,,2.0,,,4.0,
2021-01-06,1.0,,,,,,3.0,,,2.0,4.0,,5.0,
2021-01-07,1.0,,,,,,5.0,,,3.0,2.0,,4.0,
2021-01-08,1.0,3.0,,,,,,,,4.0,2.0,,5.0,
2021-01-09,1.0,2.0,,,4.0,5.0,,,,,3.0,,,
2021-01-10,1.0,2.0,,,4.0,,,,,,3.0,,,5.0
2021-01-11,1.0,2.0,,,3.0,,,,,,5.0,,4.0,
2021-01-12,1.0,2.0,,,4.0,,,,,5.0,,3.0,,
2021-01-13,2.0,3.0,5.0,,4.0,,,,,,,1.0,,
2021-01-14,1.0,2.0,3.0,,4.0,,,,,,,,5.0,
2021-01-15,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
