data,RR,AP,RN,PR,MT,AC,CE,ES,MA,PA,PE,PI,RO,SC,SE
2020-11-01,,,,,,5.0,2.0,4.0,,3.0,,,,1.0,
2020-11-02,,,,,,,3.0,,4.0,2.0,,,,1.0,5.0
2020-11-03,,2.0,,,,,,,4.0,3.0,,5.0,,1.0,
2020-11-04,,,,,,,,,4.0,2.0,,3.0,,1.0,5.0
2020-11-05,,,,,,,4.0,,,3.0,2.0,,5.0,1.0,
2020-11-06,,,1.0,,,,5.0,,,,4.0,,3.0,2.0,
2020-11-07,,,1.0,,,,,,,,2.0,5.0,4.0,3.0,
2020-11-08,,,1.0,,,,,,,,2.0,5.0,4.0,3.0,
2020-11-09,,1.0,2.0,4.0,,,,,,,,,5.0,3.0,
2020-11-10,,4.0,1.0,2.0,,,,,,,3.0,,,5.0,
2020-11-11,1.0,3.0,4.0,2.0,,,,,,,5.0,,,,
2020-11-12,1.0,2.0,,3.0,4.0,,,,,,,,,5.0,
2020-11-13,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
2020-11-14,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
