data,RN,PB,MS,PR,MT,AC,AP,CE,ES,RO,RR,RS,SC,SE
2020-12-04,,,,,,5.0,,1.0,4.0,3.0,,,2.0,
2020-12-05,,,,,,,,1.0,5.0,3.0,,,2.0,4.0
2020-12-06,,,,,,,,1.0,,3.0,,5.0,2.0,4.0
2020-12-07,,,,,,4.0,,1.0,,3.0,,,2.0,5.0
2020-12-08,,,,,,3.0,,1.0,,4.0,,,2.0,5.0
2020-12-09,4.0,,,5.0,,,,2.0,,3.0,,,1.0,
2020-12-10,2.0,,4.0,,,,,3.0,,1.0,,,5.0,
2020-12-11,1.0,,3.0,,,5.0,,,,2.0,,,4.0,
2020-12-12,1.0,,2.0,,,3.0,,,,4.0,,,5.0,
2020-12-13,1.0,4.0,2.0,,,3.0,,,,5.0,,,,
2020-12-14,1.0,4.0,2.0,,,3.0,5.0,,,,,,,
2020-12-15,1.0,3.0,2.0,,,5.0,,,,,4.0,,,
2020-12-16,1.0,4.0,2.0,3.0,,5.0,,,,,,,,
2020-12-17,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
