data,MG,AM,DF,BA,TO,AC,MS,PR,RN,RO,RS,SC
2020-08-05,3.0,,,,,2.0,5.0,,,,4.0,1.0
2020-08-06,1.0,,,,,,4.0,,3.0,,5.0,2.0
2020-08-07,2.0,,,,,,3.0,,4.0,,5.0,1.0
2020-08-08,2.0,,5.0,,,,1.0,,,,3.0,4.0
2020-08-09,1.0,5.0,,,,,2.0,,,,4.0,3.0
2020-08-10,1.0,3.0,,,5.0,,,,,,4.0,2.0
2020-08-11,3.0,2.0,,,5.0,,4.0,,,,,1.0
2020-08-12,5.0,1.0,,,3.0,,4.0,,,,,2.0
2020-08-13,5.0,1.0,,,2.0,,4.0,,,,,3.0
2020-08-14,4.0,1.0,,5.0,2.0,,,,,,,3.0
2020-08-15,2.0,1.0,,,4.0,,,5.0,,,,3.0
2020-08-16,3.0,1.0,,,4.0,,5.0,,,,,2.0
2020-08-17,2.0,1.0,3.0,5.0,,,,,,4.0,,
2020-08-18,1.0,2.0,3.0,4.0,5.0,,,,,,,
