data,AP,RR,RJ,MG,PR,CE,MT,PE,PI,RN,RO,SC,SP,TO
2020-11-06,,,,,,5.0,,4.0,,1.0,3.0,2.0,,
2020-11-07,,,,,,,,2.0,5.0,1.0,4.0,3.0,,
2020-11-08,,,,,,,,2.0,5.0,1.0,4.0,3.0,,
2020-11-09,1.0,,,,4.0,,,,,2.0,5.0,3.0,,
2020-11-10,4.0,,,,2.0,,,3.0,,1.0,,5.0,,
2020-11-11,3.0,1.0,,,2.0,,,5.0,,4.0,,,,
2020-11-12,2.0,1.0,,,3.0,,4.0,,,,,5.0,,
2020-11-13,2.0,1.0,,,4.0,,5.0,,,3.0,,,,
2020-11-14,2.0,1.0,,,4.0,,5.0,,,3.0,,,,
2020-11-15,2.0,1.0,,,4.0,,5.0,,,3.0,,,,
2020-11-16,5.0,1.0,,,4.0,,2.0,,,3.0,,,,
2020-11-17,,1.0,,,,,5.0,,,,3.0,,4.0,2.0
2020-11-18,,1.0,5.0,4.0,,,2.0,,,3.0,,,,
2020-11-19,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
