data,RJ,AM,GO,PE,PI,AC,BA,DF,ES,PR,RO,RR,TO
2021-07-18,,,,,,2.0,,,,1.0,5.0,3.0,4.0
2021-07-19,,,,,,,5.0,4.0,,1.0,,2.0,3.0
2021-07-20,,5.0,,,,,,4.0,,1.0,,3.0,2.0
2021-07-21,,,,,,2.0,,5.0,,1.0,,4.0,3.0
2021-07-22,,,4.0,,,1.0,,,,2.0,,3.0,5.0
2021-07-23,3.0,,5.0,,,1.0,,,,2.0,,,4.0
2021-07-24,2.0,,,,,3.0,,5.0,,,,1.0,4.0
2021-07-25,3.0,,1.0,,,2.0,,4.0,,,,5.0,
2021-07-26,4.0,1.0,2.0,,,5.0,,3.0,,,,,
2021-07-27,2.0,1.0,3.0,5.0,,,,4.0,,,,,
2021-07-28,3.0,2.0,1.0,5.0,,,,4.0,,,,,
2021-07-29,2.0,3.0,1.0,,5.0,,,,,,,4.0,
2021-07-30,1.0,2.0,3.0,,4.0,,,,5.0,,,,
2021-07-31,1.0,2.0,3.0,4.0,5.0,,,,,,,,
