data,RJ,PE,GO,AC,PI,AM,DF,ES,MT,PR,RR,TO
2021-07-20,,,,,,5.0,4.0,,,1.0,3.0,2.0
2021-07-21,,,,2.0,,,5.0,,,1.0,4.0,3.0
2021-07-22,,,4.0,1.0,,,,,,2.0,3.0,5.0
2021-07-23,3.0,,5.0,1.0,,,,,,2.0,,4.0
2021-07-24,2.0,,,3.0,,,5.0,,,,1.0,4.0
2021-07-25,3.0,,1.0,2.0,,,4.0,,,,5.0,
2021-07-26,4.0,,2.0,5.0,,1.0,3.0,,,,,
2021-07-27,2.0,5.0,3.0,,,1.0,4.0,,,,,
2021-07-28,3.0,5.0,1.0,,,2.0,4.0,,,,,
2021-07-29,2.0,,1.0,,5.0,3.0,,,,,4.0,
2021-07-30,1.0,,3.0,,4.0,2.0,,5.0,,,,
2021-07-31,1.0,4.0,3.0,,5.0,2.0,,,,,,
2021-08-01,2.0,3.0,1.0,,,4.0,,,5.0,,,
2021-08-02,1.0,2.0,3.0,4.0,5.0,,,,,,,
