data,AC,SE,TO,AP,DF,ES,GO,MG,PA,PI,PR,RJ,RN,RR,SC,SP
2021-09-19,,,,,,,,5.0,,4.0,,,2.0,1.0,3.0,
2021-09-20,4.0,,,4.0,,,,,,,,,1.0,2.0,3.0,
2021-09-21,1.0,,,2.0,,,,,,,,,3.0,5.0,4.0,
2021-09-22,1.0,,,2.0,,,5.0,,,,,4.0,,3.0,,
2021-09-23,1.0,,3.0,2.0,,,,,,,5.0,,,4.0,,
2021-09-24,1.0,,3.0,2.0,,,,,5.0,,4.0,,,,,
2021-09-25,1.0,,3.0,2.0,,,,,4.0,,5.0,,,,,
2021-09-26,1.0,,3.0,2.0,,,,,4.0,,5.0,,,,,
2021-09-27,1.0,,2.0,3.0,,4.0,,,5.0,,,,,,,
2021-09-28,1.0,,2.0,3.0,,,,,,,4.0,,,,,5.0
2021-09-29,1.0,,2.0,,,,,,5.0,,3.0,,,,,4.0
2021-09-30,1.0,3.0,2.0,,,4.0,,,,,5.0,,,,,
2021-10-01,1.0,3.0,2.0,4.0,,,,,,,,,,,,5.0
2021-10-02,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
