data,SC,AL,RR,TO,SP,AP,CE,GO,MA,MG,MT,PI,PR,RJ,RS
2021-06-23,,,,,3.0,,,5.0,,2.0,,,1.0,4.0,
2021-06-24,,,,,3.0,2.0,,5.0,,4.0,,,1.0,,
2021-06-25,,,,,2.0,,,4.0,5.0,3.0,,,1.0,,
2021-06-26,,,3.0,,2.0,,5.0,4.0,,,,,1.0,,
2021-06-27,,,2.0,,3.0,,4.0,5.0,,,,,1.0,,
2021-06-28,,,2.0,4.0,3.0,,,5.0,,,,,1.0,,
2021-06-29,,5.0,1.0,4.0,3.0,,,,,,,,,,2.0
2021-06-30,,3.0,1.0,5.0,2.0,,,4.0,,,,,,,
2021-07-01,,4.0,1.0,2.0,3.0,,,,,,,5.0,,,
2021-07-02,3.0,2.0,5.0,1.0,4.0,,,,,,,,,,
2021-07-03,4.0,2.0,5.0,1.0,,,,,,,3.0,,,,
2021-07-04,,2.0,3.0,1.0,5.0,,,,,,4.0,,,,
2021-07-05,4.0,2.0,3.0,1.0,5.0,,,,,,,,,,
2021-07-06,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
