data,MS,TO,AC,PB,AL,AP,BA,GO,MA,PE,PI,RN,RR
2021-05-24,,,,3.0,,5.0,,,,4.0,2.0,1.0,
2021-05-25,,,,2.0,,4.0,5.0,,,,3.0,,1.0
2021-05-26,5.0,,,1.0,,,4.0,2.0,,,3.0,,
2021-05-27,1.0,,,3.0,,2.0,5.0,,,,4.0,,
2021-05-28,1.0,,,3.0,,2.0,,,,5.0,4.0,,
2021-05-29,1.0,,,4.0,,2.0,,,5.0,,,,3.0
2021-05-30,1.0,,,3.0,,2.0,,,4.0,5.0,,,
2021-05-31,1.0,,,5.0,,2.0,,,3.0,4.0,,,
2021-06-01,1.0,,,3.0,,2.0,,,5.0,4.0,,,
2021-06-02,1.0,,,2.0,,4.0,,,3.0,5.0,,,
2021-06-03,1.0,2.0,,3.0,,,,,4.0,5.0,,,
2021-06-04,1.0,2.0,,4.0,5.0,,,,3.0,,,,
2021-06-05,1.0,2.0,,,5.0,,4.0,,3.0,,,,
2021-06-06,1.0,2.0,3.0,4.0,5.0,,,,,,,,
