data,CE,SE,DF,PI,TO,AC,AP,ES,PA,PR,RR,RS,SP
2021-09-23,,,,,3.0,1.0,2.0,,,5.0,4.0,,
2021-09-24,,,,,3.0,1.0,2.0,,5.0,4.0,,,
2021-09-25,,,,,3.0,1.0,2.0,,4.0,5.0,,,
2021-09-26,,,,,3.0,1.0,2.0,,4.0,5.0,,,
2021-09-27,,,,,2.0,1.0,3.0,4.0,5.0,,,,
2021-09-28,,,,,2.0,1.0,3.0,,,4.0,,,5.0
2021-09-29,,,,,2.0,1.0,,,5.0,3.0,,,4.0
2021-09-30,,3.0,,,2.0,1.0,,4.0,,5.0,,,
2021-10-01,,3.0,,,2.0,1.0,4.0,,,,,,5.0
2021-10-02,,2.0,5.0,,3.0,1.0,4.0,,,,,,
2021-10-03,,2.0,5.0,,4.0,1.0,3.0,,,,,,
2021-10-04,,2.0,3.0,,4.0,1.0,,,,,,,5.0
2021-10-05,3.0,1.0,2.0,,5.0,,,,,,,4.0,
2021-10-06,1.0,2.0,3.0,4.0,5.0,,,,,,,,
