data,AP,RN,TO,RS,PE,AC,AM,BA,CE,ES,MT,PB,PI,PR,RR,SE
2021-10-20,,4.0,,,,,3.0,,,,,5.0,1.0,,,2.0
2021-10-21,,3.0,,,,,,,,4.0,,5.0,1.0,,,2.0
2021-10-22,,,,,,3.0,,4.0,,,,,1.0,,5.0,2.0
2021-10-23,,1.0,,,,,,,3.0,,,,4.0,,2.0,5.0
2021-10-24,,2.0,3.0,,,,,5.0,,,,,4.0,,1.0,
2021-10-25,,1.0,3.0,,,,,,4.0,,,,5.0,,2.0,
2021-10-26,,3.0,4.0,,,,,,2.0,,5.0,,,,1.0,
2021-10-27,,3.0,5.0,,,,,,2.0,,,,,4.0,1.0,
2021-10-28,,2.0,,,,5.0,,,4.0,,,,,3.0,1.0,
2021-10-29,2.0,1.0,3.0,,,,,4.0,5.0,,,,,,,
2021-10-30,,1.0,2.0,3.0,,,,4.0,,,,,,5.0,,
2021-10-31,,1.0,2.0,4.0,,,,5.0,,,,,,3.0,,
2021-11-01,,1.0,2.0,4.0,3.0,,,5.0,,,,,,,,
2021-11-02,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
