data,PE,SE,RJ,CE,RR,AC,AM,ES,PA,PR,RN
2021-04-25,,4.0,,,5.0,2.0,,3.0,1.0,,
2021-04-26,,4.0,,,5.0,2.0,,3.0,1.0,,
2021-04-27,4.0,5.0,,,,2.0,,3.0,1.0,,
2021-04-28,3.0,5.0,,,,2.0,,4.0,1.0,,
2021-04-29,4.0,,5.0,3.0,,2.0,,,1.0,,
2021-04-30,3.0,5.0,4.0,,,2.0,,,1.0,,
2021-05-01,2.0,4.0,,,,3.0,,5.0,1.0,,
2021-05-02,1.0,3.0,5.0,,,4.0,,,2.0,,
2021-05-03,1.0,3.0,4.0,,,,5.0,,2.0,,
2021-05-04,1.0,3.0,5.0,2.0,,,,,4.0,,
2021-05-05,1.0,2.0,4.0,,,,,,,5.0,3.0
2021-05-06,1.0,2.0,5.0,4.0,,,,,,3.0,
2021-05-07,1.0,2.0,4.0,5.0,,,,,,3.0,
2021-05-08,1.0,2.0,3.0,4.0,5.0,,,,,,
