data,CE,AM,SE,PI,RO,AC,AP,DF,ES,PA,PR,RS,SP,TO
2021-09-26,,,,,,1.0,2.0,,,4.0,5.0,,,3.0
2021-09-27,,,,,,1.0,3.0,,4.0,5.0,,,,2.0
2021-09-28,,,,,,1.0,3.0,,,,4.0,,5.0,2.0
2021-09-29,,,,,,1.0,,,,5.0,3.0,,4.0,2.0
2021-09-30,,,3.0,,,1.0,,,4.0,,5.0,,,2.0
2021-10-01,,,3.0,,,1.0,4.0,,,,,,5.0,2.0
2021-10-02,,,2.0,,,1.0,4.0,5.0,,,,,,3.0
2021-10-03,,,2.0,,,1.0,3.0,5.0,,,,,,4.0
2021-10-04,,,2.0,,,1.0,,3.0,,,,,5.0,4.0
2021-10-05,3.0,,1.0,,,,,2.0,,,,4.0,,5.0
2021-10-06,1.0,,2.0,4.0,,,,3.0,,,,,,5.0
2021-10-07,1.0,4.0,2.0,,5.0,,,3.0,,,,,,
2021-10-08,1.0,3.0,2.0,5.0,,,,4.0,,,,,,
2021-10-09,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
