data,RR,RJ,SC,DF,GO,AC,BA,ES,PB,RS,SE
2021-08-30,,2.0,,3.0,,4.0,,,,5.0,1.0
2021-08-31,,2.0,,3.0,,4.0,,,,4.0,1.0
2021-09-01,,2.0,,3.0,,4.0,,5.0,,,1.0
2021-09-02,,2.0,,4.0,,5.0,,3.0,,,1.0
2021-09-03,,3.0,,2.0,,5.0,,4.0,,,1.0
2021-09-04,,2.0,,3.0,,5.0,,4.0,,,1.0
2021-09-05,,1.0,,4.0,,5.0,,3.0,,,2.0
2021-09-06,,1.0,,3.0,,,,2.0,,4.0,5.0
2021-09-07,3.0,1.0,,2.0,,,5.0,4.0,,,
2021-09-08,,1.0,,2.0,,,4.0,3.0,5.0,,
2021-09-09,,2.0,,3.0,,,4.0,1.0,5.0,,
2021-09-10,4.0,2.0,,3.0,5.0,,,1.0,,,
2021-09-11,1.0,2.0,5.0,4.0,,,,3.0,,,
2021-09-12,1.0,2.0,3.0,4.0,5.0,,,,,,
