data,SE,RJ,BA,PI,PB,AC,AM,CE,PA,PE,PR,RN,RR
2021-05-02,3.0,5.0,,,,4.0,,,2.0,1.0,,,
2021-05-03,3.0,4.0,,,,,5.0,,2.0,1.0,,,
2021-05-04,3.0,5.0,,,,,,2.0,4.0,1.0,,,
2021-05-05,2.0,4.0,,,,,,,,1.0,5.0,3.0,
2021-05-06,2.0,5.0,,,,,,4.0,,1.0,3.0,,
2021-05-07,2.0,4.0,,,,,,5.0,,1.0,3.0,,
2021-05-08,2.0,3.0,,,,,,4.0,,1.0,,,5.0
2021-05-09,1.0,3.0,,,,,,4.0,,2.0,,,5.0
2021-05-10,1.0,4.0,,,,,,3.0,,2.0,,,5.0
2021-05-11,1.0,3.0,,,,,,5.0,,2.0,4.0,,
2021-05-12,1.0,2.0,,4.0,,,,5.0,,3.0,,,
2021-05-13,1.0,2.0,5.0,3.0,,,,,,4.0,,,
2021-05-14,2.0,,3.0,5.0,4.0,,,1.0,,,,,
2021-05-15,1.0,2.0,3.0,4.0,5.0,,,,,,,,
