data,GO,RR,DF,MT,RN,AC,AM,AP,ES,PE,PI,RJ,RO
2021-08-02,3.0,,,,,4.0,,,,2.0,5.0,1.0,
2021-08-03,2.0,,,,,4.0,,3.0,,5.0,,1.0,
2021-08-04,1.0,,,3.0,,,5.0,4.0,,,,2.0,
2021-08-05,5.0,3.0,,1.0,,,,2.0,,,,4.0,
2021-08-06,4.0,2.0,,3.0,,,5.0,1.0,,,,,
2021-08-07,2.0,3.0,,4.0,,,,1.0,5.0,,,,
2021-08-08,4.0,1.0,,3.0,,,5.0,2.0,,,,,
2021-08-09,3.0,1.0,,4.0,,,,5.0,,,,,2.0
2021-08-10,5.0,1.0,,4.0,,,,2.0,,,,,3.0
2021-08-11,5.0,1.0,4.0,2.0,,,,3.0,,,,,
2021-08-12,1.0,4.0,2.0,3.0,,,,5.0,,,,,
2021-08-13,1.0,4.0,2.0,3.0,5.0,,,,,,,,
2021-08-14,1.0,2.0,3.0,4.0,5.0,,,,,,,,
2021-08-15,1.0,2.0,3.0,4.0,5.0,,,,,,,,
