data,PA,PI,SP,RN,RS,AC,AP,BA,PB,PE,RO,SC,SE,TO
2021-11-02,,,,2.0,4.0,,1.0,,,5.0,,,,3.0
2021-11-03,,,,1.0,,5.0,2.0,4.0,,3.0,,,,
2021-11-04,,,,1.0,4.0,5.0,2.0,5.0,,3.0,,,,
2021-11-05,,,,1.0,4.0,,,5.0,3.0,2.0,,,,
2021-11-06,,,2.0,1.0,4.0,,,,5.0,3.0,,,,
2021-11-07,,,3.0,1.0,5.0,,,,4.0,2.0,,,,
2021-11-08,,,3.0,1.0,5.0,,,,4.0,2.0,,,,
2021-11-09,,,4.0,1.0,5.0,,,,2.0,3.0,,,,
2021-11-10,,,,3.0,4.0,,,,1.0,2.0,5.0,,,
2021-11-11,4.0,,,2.0,3.0,,,,1.0,,,,5.0,
2021-11-12,2.0,,,1.0,4.0,,,,3.0,,,5.0,,
2021-11-13,1.0,,3.0,4.0,5.0,,2.0,,,,,,,
2021-11-14,1.0,5.0,4.0,3.0,,,2.0,,,,,,,
2021-11-15,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
