data,AP,MA,RR,RO,GO,AM,CE,PA,PI,RN,SE,SP
2021-11-22,4.0,,,2.0,,,3.0,1.0,5.0,,,
2021-11-23,4.0,,,3.0,,,1.0,2.0,5.0,,,
2021-11-24,2.0,,,4.0,,,1.0,3.0,,5.0,,
2021-11-25,1.0,,,3.0,,,2.0,4.0,5.0,,,
2021-11-26,5.0,,,1.0,,,4.0,3.0,,,,2.0
2021-11-27,2.0,,,1.0,,3.0,,4.0,5.0,,,
2021-11-28,2.0,,,1.0,,4.0,,5.0,,,3.0,
2021-11-29,1.0,4.0,,2.0,,,,5.0,,,3.0,
2021-11-30,1.0,3.0,,2.0,,,4.0,5.0,,,,
2021-12-01,1.0,3.0,4.0,2.0,,,5.0,,,,,
2021-12-02,2.0,3.0,1.0,4.0,,,5.0,,,,,
2021-12-03,2.0,3.0,1.0,4.0,,,,,,,5.0,
2021-12-04,2.0,3.0,1.0,4.0,5.0,,,,,,,
2021-12-05,1.0,2.0,3.0,4.0,5.0,,,,,,,
