data,RO,RR,PI,SC,RN,AC,AP,BA,DF,ES,GO,PB,PE,RJ,RS,SE
2021-09-04,,,,,,5.0,,,3.0,4.0,,,,2.0,,1.0
2021-09-05,,,,,,5.0,,,4.0,3.0,,,,1.0,,2.0
2021-09-06,,,,,,,,,3.0,2.0,,,,1.0,4.0,5.0
2021-09-07,,3.0,,,,,,5.0,2.0,4.0,,,,1.0,,
2021-09-08,,,,,,,,4.0,2.0,3.0,,5.0,,1.0,,
2021-09-09,,,,,,,,4.0,3.0,1.0,,5.0,,2.0,,
2021-09-10,,4.0,,,,,,,3.0,1.0,5.0,,,2.0,,
2021-09-11,,1.0,,5.0,,,,,4.0,3.0,,,,2.0,,
2021-09-12,,1.0,,3.0,,,,,4.0,,5.0,,,2.0,,
2021-09-13,,1.0,,3.0,,,5.0,,,,,,4.0,2.0,,
2021-09-14,4.0,1.0,2.0,,3.0,,,,,,,,,5.0,,
2021-09-15,3.0,2.0,4.0,,,,1.0,,,,,,,5.0,,
2021-09-16,4.0,2.0,,,3.0,,1.0,,,,,,,5.0,,
2021-09-17,1.0,1.0,3.0,4.0,5.0,,,,,,,,,,,
