data,PR,RJ,PB,AM,AP,AC,AL,BA,GO,MA,MS,PE,RN,RR,TO
2021-06-06,,,4.0,,,3.0,5.0,,,,1.0,,,,2.0
2021-06-07,,,,,,,,4.0,,5.0,1.0,3.0,,,2.0
2021-06-08,,,,,,,4.0,5.0,,,1.0,3.0,,,2.0
2021-06-09,,,,,,,5.0,,,,1.0,2.0,3.0,,4.0
2021-06-10,,,,,,,,,,,1.0,3.0,2.0,4.0,5.0
2021-06-11,,,,,,,,,,,2.0,3.0,4.0,1.0,5.0
2021-06-12,,,4.0,,,,5.0,,,,1.0,2.0,3.0,,
2021-06-13,,,,,,4.0,,2.0,,,5.0,3.0,1.0,,
2021-06-14,,,5.0,3.0,,1.0,,,,,4.0,,2.0,,
2021-06-15,,,5.0,1.0,,4.0,,,,,3.0,,2.0,,
2021-06-16,3.0,,4.0,1.0,,,,,,,2.0,5.0,,,
2021-06-17,2.0,,3.0,1.0,4.0,,,,,,,,5.0,,
2021-06-18,1.0,,3.0,2.0,4.0,,,,5.0,,,,,,
2021-06-19,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
