data,RN,RR,PI,RO,RJ,AC,AP,BA,DF,ES,GO,PB,PE,RS,SC,SE
2021-09-05,,,,,1.0,5.0,,,4.0,3.0,,,,,,2.0
2021-09-06,,,,,1.0,,,,3.0,2.0,,,,4.0,,5.0
2021-09-07,,3.0,,,1.0,,,5.0,2.0,4.0,,,,,,
2021-09-08,,,,,1.0,,,4.0,2.0,3.0,,5.0,,,,
2021-09-09,,,,,2.0,,,4.0,3.0,1.0,,5.0,,,,
2021-09-10,,4.0,,,2.0,,,,3.0,1.0,5.0,,,,,
2021-09-11,,1.0,,,2.0,,,,4.0,3.0,,,,,5.0,
2021-09-12,,1.0,,,2.0,,,,4.0,,5.0,,,,3.0,
2021-09-13,,1.0,,,2.0,,5.0,,,,,,4.0,,3.0,
2021-09-14,3.0,1.0,2.0,4.0,5.0,,,,,,,,,,,
2021-09-15,,2.0,4.0,3.0,5.0,,1.0,,,,,,,,,
2021-09-16,3.0,2.0,,4.0,5.0,,1.0,,,,,,,,,
2021-09-17,5.0,1.0,3.0,1.0,,,,,,,,,,,4.0,
2021-09-18,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
