data,PR,TO,RR,DF,AM,AC,AL,BA,ES,MT,RO,SC,SP
2021-07-07,,,1.0,,,,2.0,,,5.0,,3.0,4.0
2021-07-08,,5.0,3.0,,,,1.0,,4.0,,,2.0,
2021-07-09,,4.0,1.0,,,,2.0,,3.0,,,5.0,
2021-07-10,,2.0,4.0,,,1.0,3.0,,,,,5.0,
2021-07-11,5.0,3.0,2.0,,,1.0,4.0,,,,,,
2021-07-12,3.0,4.0,2.0,,,1.0,5.0,,,,,,
2021-07-13,2.0,5.0,3.0,,,1.0,,,,,4.0,,
2021-07-14,2.0,4.0,5.0,,,1.0,,,,,3.0,,
2021-07-15,2.0,5.0,4.0,,,1.0,,,,,3.0,,
2021-07-16,2.0,4.0,3.0,,,1.0,,,,,5.0,,
2021-07-17,2.0,5.0,3.0,,,1.0,,,,,4.0,,
2021-07-18,1.0,4.0,3.0,,,2.0,,,,,5.0,,
2021-07-19,1.0,3.0,2.0,4.0,,,,5.0,,,,,
2021-07-20,1.0,2.0,3.0,4.0,5.0,,,,,,,,
