data,DF,SP,MA,GO,MT,AM,AP,CE,ES,RN,RO,RR
2021-08-07,,,,2.0,4.0,,1.0,,5.0,,,3.0
2021-08-08,,,,4.0,3.0,5.0,2.0,,,,,1.0
2021-08-09,,,,3.0,4.0,,5.0,,,,2.0,1.0
2021-08-10,,,,5.0,4.0,,2.0,,,,3.0,1.0
2021-08-11,4.0,,,5.0,2.0,,3.0,,,,,1.0
2021-08-12,2.0,,,1.0,3.0,,5.0,,,,,4.0
2021-08-13,2.0,,,1.0,3.0,,,,,5.0,,4.0
2021-08-14,3.0,,,1.0,4.0,,,,,5.0,,2.0
2021-08-15,3.0,,,1.0,4.0,,,,,5.0,,2.0
2021-08-16,2.0,,,3.0,5.0,,,,,1.0,,4.0
2021-08-17,3.0,,,4.0,5.0,,,,,1.0,,2.0
2021-08-18,3.0,,,,5.0,,,2.0,,,4.0,1.0
2021-08-19,1.0,4.0,3.0,2.0,5.0,,,,,,,
2021-08-20,1.0,2.0,3.0,4.0,5.0,,,,,,,
