data,RN,RR,SC,AC,AP,BA,DF,ES,GO,MG,PB,PE,PI,RJ,RO
2021-09-07,,3.0,,,,5.0,2.0,4.0,,,,,,1.0,
2021-09-08,,,,,,4.0,2.0,3.0,,,5.0,,,1.0,
2021-09-09,,,,,,4.0,3.0,1.0,,,5.0,,,2.0,
2021-09-10,,4.0,,,,,3.0,1.0,5.0,,,,,2.0,
2021-09-11,,1.0,5.0,,,,4.0,3.0,,,,,,2.0,
2021-09-12,,1.0,3.0,,,,4.0,,5.0,,,,,2.0,
2021-09-13,,1.0,3.0,,5.0,,,,,,,4.0,,2.0,
2021-09-14,3.0,1.0,,,,,,,,,,,2.0,5.0,4.0
2021-09-15,,2.0,,,1.0,,,,,,,,4.0,5.0,3.0
2021-09-16,3.0,2.0,,,1.0,,,,,,,,,5.0,4.0
2021-09-17,5.0,1.0,4.0,,,,,,,,,,3.0,,1.0
2021-09-18,1.0,2.0,,,,,,,,,,,3.0,5.0,4.0
2021-09-19,2.0,1.0,3.0,,,,,,,5.0,,,4.0,,
2021-09-20,1.0,2.0,3.0,4.0,4.0,,,,,,,,,,
