data,PI,SE,AP,RR,PB,BA,CE,PE,PR,RJ
2021-05-08,,2.0,,5.0,,,4.0,1.0,,3.0
2021-05-09,,1.0,,5.0,,,4.0,2.0,,3.0
2021-05-10,,1.0,,5.0,,,3.0,2.0,,4.0
2021-05-11,,1.0,,,,,5.0,2.0,4.0,3.0
2021-05-12,4.0,1.0,,,,,5.0,3.0,,2.0
2021-05-13,3.0,1.0,,,,5.0,,4.0,,2.0
2021-05-14,5.0,2.0,,,4.0,3.0,1.0,,,
2021-05-15,4.0,1.0,,,5.0,3.0,,,,2.0
2021-05-16,4.0,1.0,,,2.0,3.0,,,5.0,
2021-05-17,,1.0,,,2.0,3.0,,,4.0,5.0
2021-05-18,,1.0,,2.0,3.0,4.0,,,,5.0
2021-05-19,1.0,2.0,,,4.0,3.0,,,,5.0
2021-05-20,1.0,2.0,5.0,,3.0,4.0,,,,
2021-05-21,1.0,2.0,3.0,4.0,5.0,,,,,
