data,PR,MG,SP,RJ,GO,AC,AL,AM,AP,BA,CE,MS,PB,PE,RN,RO,RR,TO
2021-06-10,,,,,,,,,,,,1.0,,3.0,2.0,,4.0,5.0
2021-06-11,,,,,,,,,,,,2.0,,3.0,4.0,,1.0,5.0
2021-06-12,,,,,,,5.0,,,,,1.0,4.0,2.0,3.0,,,
2021-06-13,,,,,,4.0,,,,2.0,,5.0,,3.0,1.0,,,
2021-06-14,,,,,,1.0,,3.0,,,,4.0,5.0,,2.0,,,
2021-06-15,,,,,,4.0,,1.0,,,,3.0,5.0,,2.0,,,
2021-06-16,3.0,,,,,,,1.0,,,,2.0,4.0,5.0,,,,
2021-06-17,2.0,,,,,,,1.0,4.0,,,,3.0,,5.0,,,
2021-06-18,1.0,,,,5.0,,,2.0,4.0,,,,3.0,,,,,
2021-06-19,1.0,,,2.0,,,,4.0,5.0,,,,3.0,,,,,
2021-06-20,1.0,,,2.0,,,,4.0,5.0,,,,3.0,,,,,
2021-06-21,1.0,,,2.0,,,,5.0,4.0,,,,3.0,,,,,
2021-06-22,1.0,,,4.0,,,,,,,3.0,,5.0,,,2.0,,
2021-06-23,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,
