data,RN,PI,PB,PE,AP,BA,CE,PR,RJ,RO,RR,SE
2021-05-11,,,,2.0,,,5.0,4.0,3.0,,,1.0
2021-05-12,,4.0,,3.0,,,5.0,,2.0,,,1.0
2021-05-13,,3.0,,4.0,,5.0,,,2.0,,,1.0
2021-05-14,,5.0,4.0,,,3.0,1.0,,,,,2.0
2021-05-15,,4.0,5.0,,,3.0,,,2.0,,,1.0
2021-05-16,,4.0,2.0,,,3.0,,5.0,,,,1.0
2021-05-17,,,2.0,,,3.0,,4.0,5.0,,,1.0
2021-05-18,,,3.0,,,4.0,,,5.0,,2.0,1.0
2021-05-19,,1.0,4.0,,,3.0,,,5.0,,,2.0
2021-05-20,,1.0,3.0,,5.0,4.0,,,,,,2.0
2021-05-21,,1.0,5.0,,3.0,,,,,,4.0,2.0
2021-05-22,1.0,2.0,,,4.0,,,,,5.0,,3.0
2021-05-23,2.0,1.0,4.0,,3.0,,,,,,,5.0
2021-05-24,1.0,2.0,3.0,4.0,5.0,,,,,,,
