data,RR,RN,TO,PI,BA,AC,AM,CE,ES,PB,RO,SE
2021-10-11,,,,5.0,,,2.0,4.0,,,3.0,1.0
2021-10-12,,,,4.0,,,2.0,3.0,,,5.0,1.0
2021-10-13,,,,5.0,,,1.0,3.0,,,4.0,2.0
2021-10-14,,,,3.0,,,1.0,4.0,,,5.0,2.0
2021-10-15,,,,3.0,,,1.0,4.0,5.0,,,2.0
2021-10-16,,,,3.0,,,1.0,2.0,,,5.0,4.0
2021-10-17,,,,2.0,,,1.0,4.0,5.0,,,3.0
2021-10-18,,,,2.0,,,1.0,3.0,,,5.0,4.0
2021-10-19,,5.0,,2.0,,,1.0,4.0,,,3.0,
2021-10-20,,4.0,,1.0,,,3.0,,,5.0,,2.0
2021-10-21,,3.0,,1.0,,,,,4.0,5.0,,2.0
2021-10-22,5.0,,,1.0,4.0,3.0,,,,,,2.0
2021-10-23,2.0,1.0,,4.0,,,,3.0,,,,5.0
2021-10-24,1.0,2.0,3.0,4.0,5.0,,,,,,,
