data,RO,SP,PA,CE,AP,AM,MT,PI,RN,RS
2021-11-13,,3.0,1.0,,2.0,,,,4.0,5.0
2021-11-14,,4.0,1.0,,2.0,,,5.0,3.0,
2021-11-15,,3.0,1.0,,,,,2.0,4.0,5.0
2021-11-16,1.0,,2.0,,,,3.0,5.0,4.0,
2021-11-17,5.0,3.0,1.0,,,4.0,,,2.0,
2021-11-18,2.0,5.0,1.0,,,,,4.0,3.0,
2021-11-19,2.0,,1.0,5.0,,,,2.0,4.0,
2021-11-20,3.0,,1.0,2.0,,,,4.0,5.0,
2021-11-21,3.0,,1.0,2.0,,,,4.0,5.0,
2021-11-22,2.0,,1.0,3.0,4.0,,,5.0,,
2021-11-23,3.0,,2.0,1.0,4.0,,,5.0,,
2021-11-24,4.0,,3.0,1.0,2.0,,,,5.0,
2021-11-25,3.0,,4.0,2.0,1.0,,,5.0,,
2021-11-26,1.0,2.0,3.0,4.0,5.0,,,,,
