data,MS,AP,PB,PI,BA,CE,GO,PE,PR,RJ,RN,RO,RR,SE
2021-05-14,,,4.0,5.0,3.0,1.0,,,,,,,,2.0
2021-05-15,,,5.0,4.0,3.0,,,,,2.0,,,,1.0
2021-05-16,,,2.0,4.0,3.0,,,,5.0,,,,,1.0
2021-05-17,,,2.0,,3.0,,,,4.0,5.0,,,,1.0
2021-05-18,,,3.0,,4.0,,,,,5.0,,,2.0,1.0
2021-05-19,,,4.0,1.0,3.0,,,,,5.0,,,,2.0
2021-05-20,,5.0,3.0,1.0,4.0,,,,,,,,,2.0
2021-05-21,,3.0,5.0,1.0,,,,,,,,,4.0,2.0
2021-05-22,,4.0,,2.0,,,,,,,1.0,5.0,,3.0
2021-05-23,,3.0,4.0,1.0,,,,,,,2.0,,,5.0
2021-05-24,,5.0,3.0,2.0,,,,4.0,,,1.0,,,
2021-05-25,,4.0,2.0,3.0,5.0,,,,,,,,1.0,
2021-05-26,5.0,,1.0,3.0,4.0,,2.0,,,,,,,
2021-05-27,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
