data,AC,TO,AP,ES,PA,GO,MG,PI,PR,RJ,RN,RO,RR,SC
2021-09-14,,,,,,,,2.0,,5.0,3.0,4.0,1.0,
2021-09-15,,,1.0,,,,,4.0,,5.0,,3.0,2.0,
2021-09-16,,,1.0,,,,,,,5.0,3.0,4.0,2.0,
2021-09-17,,,,,,,,3.0,,,5.0,1.0,1.0,4.0
2021-09-18,,,,,,,,3.0,,5.0,1.0,4.0,2.0,
2021-09-19,,,,,,,5.0,4.0,,,2.0,,1.0,3.0
2021-09-20,4.0,,4.0,,,,,,,,1.0,,2.0,3.0
2021-09-21,1.0,,2.0,,,,,,,,3.0,,5.0,4.0
2021-09-22,1.0,,2.0,,,5.0,,,,4.0,,,3.0,
2021-09-23,1.0,3.0,2.0,,,,,,5.0,,,,4.0,
2021-09-24,1.0,3.0,2.0,,5.0,,,,4.0,,,,,
2021-09-25,1.0,3.0,2.0,,4.0,,,,5.0,,,,,
2021-09-26,1.0,3.0,2.0,,4.0,,,,5.0,,,,,
2021-09-27,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
