data,PR,RR,SP,TO,GO,AC,AM,AP,CE,MA,MG,MS,PB,PE,RJ,RN,RO
2021-06-15,,,,,,4.0,1.0,,,,,3.0,5.0,,,2.0,
2021-06-16,3.0,,,,,,1.0,,,,,2.0,4.0,5.0,,,
2021-06-17,2.0,,,,,,1.0,4.0,,,,,3.0,,,5.0,
2021-06-18,1.0,,,,5.0,,2.0,4.0,,,,,3.0,,,,
2021-06-19,1.0,,,,,,4.0,5.0,,,,,3.0,,2.0,,
2021-06-20,1.0,,,,,,4.0,5.0,,,,,3.0,,2.0,,
2021-06-21,1.0,,,,,,5.0,4.0,,,,,3.0,,2.0,,
2021-06-22,1.0,,,,,,,,3.0,,,,5.0,,4.0,,2.0
2021-06-23,1.0,,3.0,,5.0,,,,,,2.0,,,,4.0,,
2021-06-24,1.0,,3.0,,5.0,,,2.0,,,4.0,,,,,,
2021-06-25,1.0,,2.0,,4.0,,,,,5.0,3.0,,,,,,
2021-06-26,1.0,3.0,2.0,,4.0,,,,5.0,,,,,,,,
2021-06-27,1.0,2.0,3.0,,5.0,,,,4.0,,,,,,,,
2021-06-28,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,
