data,MS,AP,PB,MA,PE,BA,GO,PI,PR,RJ,RN,RO,RR,SE
2021-05-17,,,2.0,,,3.0,,,4.0,5.0,,,,1.0
2021-05-18,,,3.0,,,4.0,,,,5.0,,,2.0,1.0
2021-05-19,,,4.0,,,3.0,,1.0,,5.0,,,,2.0
2021-05-20,,5.0,3.0,,,4.0,,1.0,,,,,,2.0
2021-05-21,,3.0,5.0,,,,,1.0,,,,,4.0,2.0
2021-05-22,,4.0,,,,,,2.0,,,1.0,5.0,,3.0
2021-05-23,,3.0,4.0,,,,,1.0,,,2.0,,,5.0
2021-05-24,,5.0,3.0,,4.0,,,2.0,,,1.0,,,
2021-05-25,,4.0,2.0,,,5.0,,3.0,,,,,1.0,
2021-05-26,5.0,,1.0,,,4.0,2.0,3.0,,,,,,
2021-05-27,1.0,2.0,3.0,,,5.0,,4.0,,,,,,
2021-05-28,1.0,2.0,3.0,,5.0,,,4.0,,,,,,
2021-05-29,1.0,2.0,4.0,5.0,,,,,,,,,3.0,
2021-05-30,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
