data,SE,RJ,DF,AC,RS,CE,ES,GO,MA,MT,PA,PR,RN,RO,RR,SC,SP
2021-08-17,,,3.0,,,,,4.0,,5.0,,,1.0,,2.0,,
2021-08-18,,,3.0,,,2.0,,,,5.0,,,,4.0,1.0,,
2021-08-19,,,1.0,,,,,2.0,3.0,5.0,,,,,,,4.0
2021-08-20,,,1.0,,,,,4.0,3.0,5.0,,,,,,,2.0
2021-08-21,,,1.0,,,,,5.0,4.0,,3.0,,,,,,2.0
2021-08-22,,,1.0,,,,,4.0,2.0,,5.0,,,,,,3.0
2021-08-23,,,1.0,2.0,,,,5.0,,,4.0,,,,,,3.0
2021-08-24,,5.0,1.0,3.0,,,4.0,,,,2.0,,,,,,
2021-08-25,,5.0,2.0,1.0,,,4.0,3.0,,,,,,,,,
2021-08-26,,2.0,1.0,,,,4.0,,,,5.0,3.0,,,,,
2021-08-27,4.0,2.0,1.0,,,,,,,,3.0,,,,,5.0,
2021-08-28,4.0,1.0,2.0,,5.0,,,,,,3.0,,,,,,
2021-08-29,2.0,1.0,3.0,4.0,5.0,,,,,,,,,,,,
2021-08-30,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,
