data,MA,PI,RN,BA,PR,AL,AM,DF,GO,MT,PA,PB,RJ,SC,SE,TO
2022-11-18,,,,,,,1.0,,,2.0,3.0,,,,3.0,3.0
2022-11-19,,,,,,1.0,3.0,,2.0,4.0,5.0,,,,,
2022-11-20,,,,,,1.0,2.0,,,3.0,4.0,,,,,5.0
2022-11-21,,,,,,1.0,4.0,,,3.0,,,,2.0,,5.0
2022-11-22,,,,,,1.0,3.0,,,,4.0,,5.0,2.0,,
2022-11-23,,2.0,,,,3.0,,4.0,,,,1.0,5.0,,,
2022-11-24,,2.0,,,,3.0,,4.0,,,,1.0,5.0,,,
2022-11-25,4.0,2.0,4.0,,,,,4.0,,3.0,,1.0,,,,
2022-11-26,4.0,1.0,4.0,,,,,4.0,,2.0,,,,3.0,,
2022-11-27,3.0,1.0,3.0,,,,,3.0,,2.0,,,,,,
2022-11-28,,4.0,2.0,5.0,,,,,,2.0,,1.0,,,,
2022-11-29,,3.0,1.0,5.0,,,,,,4.0,,2.0,,,,
2022-11-30,5.0,1.0,4.0,,2.0,,,,,,,3.0,,,5.0,
2022-12-01,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
