data,AC,PR,PB,SE,AM,AL,CE,MS,MT,RN,RS,SC,SP
2022-01-21,,,,3.0,5.0,1.0,,,4.0,,,,2.0
2022-01-22,,,,,5.0,1.0,,,4.0,3.0,,,2.0
2022-01-23,4.0,,,,4.0,1.0,,,,3.0,,,2.0
2022-01-24,4.0,,,,,2.0,,5.0,,3.0,,,1.0
2022-01-25,,,,,,3.0,,5.0,,2.0,,4.0,1.0
2022-01-26,,,,,,1.0,,5.0,,3.0,4.0,,2.0
2022-01-27,,4.0,,,,1.0,5.0,,,3.0,,,2.0
2022-01-28,,1.0,,,,5.0,2.0,,,4.0,,,3.0
2022-01-29,,1.0,4.0,,,2.0,3.0,,,,5.0,,
2022-01-30,4.0,2.0,3.0,,,,1.0,,,,5.0,,
2022-01-31,3.0,4.0,2.0,,5.0,,1.0,,,,,,
2022-02-01,1.0,2.0,3.0,5.0,4.0,,,,,,,,
2022-02-02,1.0,2.0,4.0,,3.0,,,,,,5.0,,
2022-02-03,1.0,2.0,3.0,4.0,5.0,,,,,,,,
