data,AL,PE,PA,MA,GO,AC,AP,PI,RJ,RO,RR,TO
2022-02-18,4.0,,,,,5.0,,3.0,1.0,2.0,,
2022-02-19,3.0,,,,,,5.0,,2.0,1.0,,4.0
2022-02-20,2.0,,,,,,5.0,,3.0,1.0,,4.0
2022-02-21,3.0,,,,,,5.0,,2.0,1.0,,4.0
2022-02-22,2.0,,,4.0,,,,,5.0,1.0,,3.0
2022-02-23,2.0,5.0,,3.0,,,,,,1.0,,4.0
2022-02-24,2.0,,,4.0,,,,,,1.0,3.0,5.0
2022-02-25,2.0,5.0,,3.0,,,,,,1.0,,4.0
2022-02-26,2.0,5.0,4.0,3.0,,,,,,1.0,,
2022-02-27,2.0,5.0,4.0,3.0,,,,,,1.0,,
2022-02-28,1.0,4.0,3.0,5.0,2.0,,,,,,,
2022-03-01,1.0,4.0,2.0,5.0,3.0,,,,,,,
2022-03-02,1.0,2.0,3.0,4.0,,,,,,,5.0,
2022-03-03,1.0,2.0,3.0,4.0,5.0,,,,,,,
