data,CE,RN,MA,RJ,PR,BA,ES,GO,MG,MS,MT,PB,PE,PI,SE,TO
2022-10-22,,,,,,1.0,4.0,3.0,,,2.0,,5.0,,,
2022-10-23,,,,,,1.0,4.0,3.0,,,2.0,,5.0,,,
2022-10-24,,,,,,2.0,,3.0,5.0,,1.0,,4.0,,,
2022-10-25,,,,,,1.0,,5.0,,3.0,,2.0,,4.0,,
2022-10-26,1.0,,,,,2.0,,,,4.0,4.0,3.0,,,,
2022-10-27,1.0,,,,5.0,,,,,3.0,3.0,2.0,,,,
2022-10-28,2.0,1.0,,,5.0,,,,,,3.0,3.0,,,,
2022-10-29,2.0,1.0,,,3.0,,,,,,4.0,4.0,,,,
2022-10-30,2.0,1.0,,,3.0,,,,,,4.0,4.0,,,,
2022-10-31,2.0,1.0,,3.0,4.0,,,,,,,5.0,,,,
2022-11-01,2.0,1.0,,3.0,4.0,,,,,,,5.0,,,,
2022-11-02,1.0,2.0,,3.0,4.0,,,,,5.0,,,,,5.0,5.0
2022-11-03,2.0,1.0,,4.0,3.0,,,,,5.0,,,,,,5.0
2022-11-04,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
