data,PI,RN,BA,PR,MG,AL,AM,DF,GO,MA,MT,PA,PB,RJ,SC,SE,TO
2022-11-19,,,,,,1.0,3.0,,2.0,,4.0,5.0,,,,,
2022-11-20,,,,,,1.0,2.0,,,,3.0,4.0,,,,,5.0
2022-11-21,,,,,,1.0,4.0,,,,3.0,,,,2.0,,5.0
2022-11-22,,,,,,1.0,3.0,,,,,4.0,,5.0,2.0,,
2022-11-23,2.0,,,,,3.0,,4.0,,,,,1.0,5.0,,,
2022-11-24,2.0,,,,,3.0,,4.0,,,,,1.0,5.0,,,
2022-11-25,2.0,4.0,,,,,,4.0,,4.0,3.0,,1.0,,,,
2022-11-26,1.0,4.0,,,,,,4.0,,4.0,2.0,,,,3.0,,
2022-11-27,1.0,3.0,,,,,,3.0,,3.0,2.0,,,,,,
2022-11-28,4.0,2.0,5.0,,,,,,,,2.0,,1.0,,,,
2022-11-29,3.0,1.0,5.0,,,,,,,,4.0,,2.0,,,,
2022-11-30,1.0,4.0,,2.0,,,,,,5.0,,,3.0,,,5.0,
2022-12-01,2.0,3.0,4.0,5.0,,,,,,1.0,,,,,,,
2022-12-02,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,
