data,PB,RR,MA,AP,RO,TO,AC,AM,ES,PA,PR,RJ,SC
2022-04-22,,,,,,,3.0,4.0,2.0,5.0,1.0,,
2022-04-23,,,,,,,2.0,2.0,4.0,5.0,1.0,,
2022-04-24,,,,,,,,2.0,4.0,3.0,1.0,,5.0
2022-04-25,4.0,,,,,,4.0,,,2.0,1.0,,3.0
2022-04-26,1.0,,,,,,2.0,,3.0,5.0,,,4.0
2022-04-27,1.0,4.0,,,,,2.0,3.0,,,,,5.0
2022-04-28,1.0,,,,,,2.0,3.0,,,,5.0,4.0
2022-04-29,1.0,,,5.0,,2.0,3.0,,,,,4.0,
2022-04-30,1.0,,,,,2.0,3.0,,,5.0,,4.0,
2022-05-01,1.0,,4.0,,,3.0,2.0,,,,,5.0,
2022-05-02,1.0,4.0,5.0,,,3.0,2.0,,,,,,
2022-05-03,1.0,3.0,5.0,,,2.0,4.0,,,,,,
2022-05-04,1.0,2.0,4.0,,4.0,4.0,3.0,,,,,,
2022-05-05,1.0,2.0,3.0,4.0,4.0,4.0,,,,,,,
