data,PE,SE,AM,RJ,AP,AC,BA,ES,GO,MS,RO,RR
2022-03-24,2.0,,,3.0,,,,,5.0,,4.0,1.0
2022-03-25,2.0,,,1.0,,,,4.0,5.0,,3.0,
2022-03-26,2.0,,,1.0,,,,4.0,5.0,,3.0,
2022-03-27,1.0,,,2.0,,,,,5.0,,4.0,3.0
2022-03-28,1.0,,,2.0,,,,4.0,5.0,,3.0,
2022-03-29,1.0,,,2.0,,,,,4.0,,3.0,5.0
2022-03-30,1.0,5.0,,2.0,,,,,,,3.0,4.0
2022-03-31,1.0,5.0,,2.0,,,4.0,,,,3.0,
2022-04-01,1.0,5.0,,3.0,,,,,4.0,,2.0,
2022-04-02,1.0,5.0,,,3.0,,,,2.0,,4.0,
2022-04-03,1.0,5.0,,,4.0,,,,3.0,,2.0,
2022-04-04,1.0,5.0,,,3.0,,,,2.0,,4.0,
2022-04-05,1.0,2.0,,4.0,,3.0,,,,5.0,,
2022-04-06,1.0,2.0,3.0,4.0,5.0,,,,,,,
