data,RN,SE,SP,PE,CE,AL,AP,MA,PB,PI,PR,RO,SC,TO
2022-09-22,,,5.0,,,,1.0,3.0,,,4.0,,,2.0
2022-09-23,,,,,,5.0,1.0,3.0,,,4.0,,,2.0
2022-09-24,,,,,,5.0,1.0,4.0,,,3.0,,,2.0
2022-09-25,,,,,,5.0,1.0,4.0,,,3.0,,,2.0
2022-09-26,,,,,,,1.0,2.0,3.0,,4.0,,,5.0
2022-09-27,,,,,,,1.0,4.0,2.0,4.0,3.0,,,4.0
2022-09-28,,,,4.0,,,1.0,2.0,,3.0,,4.0,,
2022-09-29,,,,2.0,4.0,,1.0,3.0,,,5.0,,,
2022-09-30,2.0,,,5.0,3.0,,1.0,,,,,,4.0,
2022-10-01,2.0,,3.0,,4.0,,1.0,,,,,,5.0,
2022-10-02,2.0,,3.0,,4.0,,1.0,,,,,,5.0,
2022-10-03,1.0,,2.0,5.0,4.0,,,,,,,,3.0,
2022-10-04,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
2022-10-05,1.0,1.0,3.0,4.0,5.0,,,,,,,,,
