data,AC,PB,PR,SE,MG,AL,AM,CE,MS,RN,RS,SC,SP
2022-01-25,,,,,,3.0,,,5.0,2.0,,4.0,1.0
2022-01-26,,,,,,1.0,,,5.0,3.0,4.0,,2.0
2022-01-27,,,4.0,,,1.0,,5.0,,3.0,,,2.0
2022-01-28,,,1.0,,,5.0,,2.0,,4.0,,,3.0
2022-01-29,,4.0,1.0,,,2.0,,3.0,,,5.0,,
2022-01-30,4.0,3.0,2.0,,,,,1.0,,,5.0,,
2022-01-31,3.0,2.0,4.0,,,,5.0,1.0,,,,,
2022-02-01,1.0,3.0,2.0,5.0,,,4.0,,,,,,
2022-02-02,1.0,4.0,2.0,,,,3.0,,,,5.0,,
2022-02-03,1.0,3.0,2.0,4.0,,,5.0,,,,,,
2022-02-04,1.0,3.0,2.0,4.0,,,,,5.0,,,,
2022-02-05,1.0,3.0,2.0,5.0,,,,,4.0,,,,
2022-02-06,1.0,3.0,2.0,5.0,,,,,4.0,,,,
2022-02-07,1.0,2.0,3.0,4.0,5.0,,,,,,,,
