data,AC,PA,RN,RO,MS,AM,BA,MA,RR,SE,TO
2022-07-26,,,,,,3.0,2.0,5.0,1.0,4.0,
2022-07-27,3.0,,,,,4.0,2.0,,1.0,5.0,
2022-07-28,2.0,,4.0,,,3.0,5.0,,1.0,,
2022-07-29,,4.0,3.0,,,5.0,,,1.0,,2.0
2022-07-30,5.0,4.0,3.0,,,,,,1.0,,2.0
2022-07-31,5.0,4.0,3.0,,,,,,1.0,,2.0
2022-08-01,2.0,3.0,4.0,,,5.0,,,1.0,,
2022-08-02,1.0,2.0,3.0,,,5.0,,,4.0,,
2022-08-03,3.0,1.0,2.0,4.0,,5.0,,,,,
2022-08-04,3.0,1.0,2.0,4.0,5.0,,,,,,
2022-08-05,1.0,2.0,3.0,4.0,,5.0,,,,,
2022-08-06,1.0,3.0,2.0,4.0,5.0,,,,,,
2022-08-07,1.0,2.0,3.0,4.0,5.0,,,,,,
2022-08-08,1.0,2.0,3.0,4.0,5.0,,,,,,
