data,AL,PA,GO,PR,DF,MA,MS,PE,RO,RR,RS,TO
2022-02-25,2.0,,,,,3.0,,5.0,1.0,,,4.0
2022-02-26,2.0,4.0,,,,3.0,,5.0,1.0,,,
2022-02-27,2.0,4.0,,,,3.0,,5.0,1.0,,,
2022-02-28,1.0,3.0,2.0,,,5.0,,4.0,,,,
2022-03-01,1.0,2.0,3.0,,,5.0,,4.0,,,,
2022-03-02,1.0,3.0,,,,4.0,,2.0,,5.0,,
2022-03-03,1.0,3.0,5.0,,,4.0,,2.0,,,,
2022-03-04,1.0,4.0,,,5.0,3.0,,2.0,,,,
2022-03-05,1.0,3.0,4.0,,5.0,,,2.0,,,,
2022-03-06,1.0,5.0,3.0,,2.0,,,4.0,,,,
2022-03-07,1.0,4.0,2.0,,3.0,,,5.0,,,,
2022-03-08,1.0,3.0,2.0,,5.0,,,,,,4.0,
2022-03-09,1.0,2.0,4.0,,,,5.0,,,,3.0,
2022-03-10,1.0,2.0,3.0,4.0,5.0,,,,,,,
