data,RR,MA,TO,PI,RN,AC,AM,AP,GO,PA,PB,RJ,RO,SC
2022-04-28,,,,,,2.0,3.0,,,,1.0,5.0,,4.0
2022-04-29,,,2.0,,,3.0,,5.0,,,1.0,4.0,,
2022-04-30,,,2.0,,,3.0,,,,5.0,1.0,4.0,,
2022-05-01,,4.0,3.0,,,2.0,,,,,1.0,5.0,,
2022-05-02,4.0,5.0,3.0,,,2.0,,,,,1.0,,,
2022-05-03,3.0,5.0,2.0,,,4.0,,,,,1.0,,,
2022-05-04,2.0,4.0,4.0,,,3.0,,,,,1.0,,4.0,
2022-05-05,2.0,3.0,4.0,,,,,4.0,,,1.0,,4.0,
2022-05-06,1.0,3.0,4.0,,,,,,,,2.0,4.0,,
2022-05-07,1.0,1.0,4.0,,,,,,,,3.0,4.0,,
2022-05-08,1.0,1.0,3.0,,,3.0,,,,,3.0,3.0,,
2022-05-09,2.0,1.0,,,,,,,4.0,,5.0,3.0,,
2022-05-10,1.0,2.0,4.0,,,,,,5.0,,,3.0,,
2022-05-11,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
