data,RN,RO,AL,SP,SC,SE,AP,CE,MA,PA,PE,PI,PR
2022-09-28,,4.0,,,,,1.0,,2.0,,4.0,3.0,
2022-09-29,,,,,,,1.0,4.0,3.0,,2.0,,5.0
2022-09-30,2.0,,,,4.0,,1.0,3.0,,,5.0,,
2022-10-01,2.0,,,3.0,5.0,,1.0,4.0,,,,,
2022-10-02,2.0,,,3.0,5.0,,1.0,4.0,,,,,
2022-10-03,1.0,,,2.0,3.0,,,4.0,,,5.0,,
2022-10-04,1.0,,,3.0,,2.0,,5.0,,,4.0,,
2022-10-05,1.0,,,3.0,,1.0,,5.0,,,4.0,,
2022-10-06,2.0,,,3.0,,1.0,,4.0,,,5.0,,
2022-10-07,4.0,,,,3.0,1.0,,2.0,,5.0,,,
2022-10-08,4.0,2.0,,5.0,2.0,1.0,,,,,,,
2022-10-09,3.0,1.0,,4.0,1.0,5.0,,,,,,,
2022-10-10,1.0,2.0,,3.0,,4.0,,5.0,,,,,
2022-10-11,1.0,2.0,3.0,4.0,5.0,5.0,,,,,,,
