data,RO,RN,MT,ES,MA,AM,AP,GO,MG,PI,PR,RS,SC,SE
2022-05-30,,,,1.0,,,,,,2.0,,4.0,3.0,5.0
2022-05-31,,,5.0,1.0,,,,,,2.0,4.0,,3.0,
2022-06-01,,,2.0,1.0,,,3.0,,,,,5.0,4.0,
2022-06-02,,,2.0,1.0,,,3.0,,,,,5.0,4.0,
2022-06-03,,1.0,3.0,2.0,,,,,5.0,,,,4.0,
2022-06-04,,1.0,3.0,2.0,,,,,5.0,,,,4.0,
2022-06-05,,1.0,3.0,2.0,,,,,5.0,,,,4.0,
2022-06-06,,1.0,3.0,2.0,,,,,,,,,5.0,4.0
2022-06-07,,1.0,3.0,2.0,,,,5.0,,,,,4.0,
2022-06-08,4.0,1.0,2.0,2.0,,4.0,4.0,,,,,,,
2022-06-09,5.0,1.0,4.0,3.0,,,2.0,,,,,,,
2022-06-10,2.0,1.0,3.0,,4.0,,,,,,,5.0,,
2022-06-11,1.0,3.0,2.0,5.0,,,,,,,,4.0,,
2022-06-12,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
